Segment,Count,Percentage,Accuracy,F1_Score
Withdrawals,620,20.327868852459016,0.45,0.49051922635156076
Transfers,587,19.24590163934426,0.43270868824531517,0.47315437339024097
Pre-Funding,573,18.786885245901637,0.1518324607329843,0.12894161776351082
Bill Payments,420,13.77049180327869,0.44047619047619047,0.48678668215253584
Card Payments,409,13.40983606557377,0.43765281173594134,0.4745802509693368
Bill_Payments,192,6.295081967213115,0.4635416666666667,0.5018115942028986
Card_Payments,188,6.163934426229508,0.3776595744680851,0.4204375335572237
Bank Charges,50,1.639344262295082,0.56,0.6342428785607196
